# law_cat,crime_day,crime_month,duration_hours,suspect_age,suspect_sex,victim_age,victim_sex
1,22,3,1,35,1,35,1
2,21,3,1,55,0,55,0
2,10,3,9138,35,1,35,0
3,30,3,3,18,1,18,1
2,31,3,1,55,1,55,0
2,24,3,1,35,0,35,0
2,27,3,1,35,1,35,0
3,21,3,1,35,1,35,0
3,24,3,1,35,0,35,1
3,22,3,1,22,1,22,0
3,26,3,1,35,1,55,1
3,29,3,1,35,0,65,1
1,23,3,1,35,1,35,1
2,21,3,1,55,1,35,0
1,21,3,2,22,0,22,1
1,27,3,1,35,0,35,1
3,26,3,1,35,1,35,1
2,28,3,1,35,0,35,1
1,22,3,223,22,1,22,0
3,24,3,1,35,1,18,0
2,22,3,1,35,1,35,0
1,20,11,2970,55,1,55,0
2,31,3,1,55,0,55,1
3,26,3,1,22,1,35,1
3,27,3,1,35,1,35,1
3,24,3,1,22,0,35,0
1,31,3,1,22,1,35,1
1,23,3,1,35,1,35,1
1,25,3,1,55,1,55,0
1,23,3,18,55,1,35,0
1,29,3,1,65,1,55,0
1,27,3,1,55,1,35,1
3,29,3,1,55,1,55,1
1,15,3,7,35,1,65,1
1,14,3,25,35,0,35,0
1,12,3,1,18,1,35,1
3,6,3,2,35,1,35,0
2,12,3,1,55,1,35,0
1,20,3,1,22,1,35,0
2,21,3,1,55,1,35,0
1,12,3,2,35,1,22,0
2,14,3,1,35,1,55,1
1,20,3,1,35,1,55,0
2,17,3,1,35,1,55,1
3,15,3,1,35,0,35,0
2,13,3,1,35,0,35,0
1,20,3,1,35,1,35,0
3,17,3,1,35,0,55,1
3,21,3,2,35,1,65,0
1,13,3,1,22,1,55,1
3,15,3,2,35,1,65,1
2,18,3,1,35,1,35,0
2,15,3,2,35,0,55,0
3,19,3,2,35,1,55,0
1,18,3,1,35,1,35,0
1,21,3,1,35,0,35,0
1,2,12,2629,35,1,35,0
2,16,3,1,65,1,55,0
1,14,3,1,35,1,55,0
1,15,3,1,55,1,55,0
1,20,3,1,35,1,35,0
3,13,3,1,22,1,35,1
2,20,3,1,35,1,35,0
1,19,3,1,22,0,22,0
2,18,3,1,18,0,18,0
2,19,3,2,35,1,22,0
2,16,3,1,35,0,55,0
1,20,3,2,55,1,55,0
2,19,3,1,55,1,35,0
2,21,3,1,55,1,18,0
1,19,3,1,18,0,35,0
1,12,3,1,55,1,35,1
3,15,3,2,35,1,35,0
1,12,3,1,18,1,22,1
