# precinct,law_category,crime_day,crime_month,suspect_age,suspect_sex,victim_age,victim_sex
24,VIOLATION,26,3,25-44,M,<18,F
17,MISDEMEANOR,27,3,25-44,M,45-64,F
23,FELONY,22,3,18-24,M,18-24,F
25,MISDEMEANOR,27,3,25-44,M,25-44,M
24,VIOLATION,31,3,45-64,M,45-64,M
14,VIOLATION,27,3,18-24,F,18-24,M
20,VIOLATION,28,3,45-64,M,25-44,M
34,VIOLATION,26,3,25-44,M,25-44,F
33,MISDEMEANOR,31,3,45-64,M,25-44,M
10,VIOLATION,26,3,25-44,M,25-44,F
28,VIOLATION,29,3,25-44,M,18-24,F
26,MISDEMEANOR,21,3,25-44,M,18-24,F
33,MISDEMEANOR,23,3,25-44,M,25-44,F
9,MISDEMEANOR,21,9,18-24,M,<18,F
9,VIOLATION,21,3,45-64,F,45-64,M
32,MISDEMEANOR,27,3,25-44,M,25-44,F
7,MISDEMEANOR,18,3,18-24,M,25-44,M
24,MISDEMEANOR,31,3,<18,M,25-44,F
13,MISDEMEANOR,25,3,45-64,M,25-44,F
19,MISDEMEANOR,31,3,25-44,M,45-64,M
34,VIOLATION,1,3,25-44,F,65+,F
33,VIOLATION,31,3,25-44,M,25-44,F
20,FELONY,9,2,25-44,M,<18,M
14,MISDEMEANOR,25,3,45-64,M,45-64,M
7,VIOLATION,30,3,45-64,M,65+,F
19,MISDEMEANOR,23,3,25-44,F,25-44,M
32,FELONY,27,3,25-44,M,25-44,F
13,MISDEMEANOR,26,3,25-44,M,18-24,M
10,MISDEMEANOR,25,3,25-44,M,45-64,M
10,FELONY,15,3,25-44,M,25-44,M
13,MISDEMEANOR,26,3,25-44,M,25-44,M
19,VIOLATION,9,3,45-64,M,65+,M
26,MISDEMEANOR,25,3,25-44,F,25-44,M
14,MISDEMEANOR,31,3,25-44,M,45-64,F
9,FELONY,30,3,65+,M,25-44,M
9,MISDEMEANOR,20,3,25-44,M,18-24,F
